Utah,UTAH
Northern Iowa,UNI
Loyola Marymount,LMU
Idaho State,IDST
Sacramento State,SAC
Portland,PORT
DePaul,DEP
Dartmouth,DART
Santa Clara,SCU
Hawaii,HAW
Temple,TEM
Northern Colorado,UNCO
Duke,DUKE
Fairleigh Dickinson,FDU
Arizona,ARIZ
Southern Utah,SUU
Vanderbilt,VAN
Notre Dame,ND
Maine,MAINE
LSU,LSU
Baylor,BAY
Vermont,UVM
Yale,YALE
Robert Morris,RMU
Penn,PENN
Wagner,WAG
St John's,SJU
Northern Kentucky,NKU
West Virginia,WVU
UNC Asheville,UNCA
Charleston,COFC
Syracuse,SYR
Miami (OH),M-OH
Presbyterian College,PRE
Florida Intl,FIU
Coppin State,COPP
New Hampshire,UNH
Hofstra,HOF
Georgia Southern,GASO
Milwaukee,MILW
Mercer,MER
Harvard,HARV
Morehead State,MORE
San Diego,USD
St Bonaventure,SBON
Central Connecticut,CCSU
Drexel,DREX
CS Northridge,CSN
Northern Illinois,NIU
UC Santa Barbara,UCSB
Loyola (CHI),L-IL
Murray State,MURR
South Alabama,USA
Campbell,CAMP
Brown,BRWN
Saint Peter's,SPU
Northern Arizona,NAU
Kennesaw State,KENN
Alabama,ALA
Elon,ELON
UC Davis,UCD
Green Bay,GB
High Point,HP
Texas Tech,TTU
Grand Canyon,GCU
New Mexico State,NMSU
Coastal Carolina,CCAR
Illinois State,ILST
Cal Poly,CP
La Salle,LAS
Massachusetts,UMASS
Florida Gulf Coast,FGCU
Florida State,FSU
Texas State,TXST
Boston College,BC
San José State,SJSU
Houston,HOU
Colorado State,CSU
The Citadel,CIT
Appalachian State,APP
Towson,TOWS
South Carolina,SCAR
Stetson,STET
